effect,m2_l0,m2_l1,observed_descriptive
collapsed_implicative_prior_effect,0.26118303850847646,0.30597878962172165,0.2756935096153847
positive_outcome_boost,1.1102230246251565e-16,0.011069235592790272,0.013575950091575195
negative_outcome_boost,0.0803052058395424,0.09206109396362064,0.09206547619047623
