effect,base_l1,m2_backoff,observed_descriptive
collapsed_implicative_prior_effect,0.30597878962172165,0.5111236739960419,0.2756935096153847
positive_outcome_boost,0.011069235592790272,-0.002753201337058586,0.013575950091575195
negative_outcome_boost,0.09206109396362064,-0.003359560696404529,0.09206547619047623
