"utterance","prior","qud","n","mean","sd","se","cells","df"
"didnt_manage","low","TRY?",30,0.181666666666667,0.266283266049104,0.0424630558381178,2,15.8994781360252
"didnt_manage","low","P?",29,0.208142857142857,0.268555637249106,0.0462001764671864,2,21.1445124252201
"didnt_manage","high","TRY?",30,0.532,0.333430890485808,0.0601116685711909,2,27.7825637787373
"didnt_manage","high","P?",32,0.51375,0.311327801521162,0.054579357361552,2,29.6678246407399
"didnt_fail","low","TRY?",30,0.521333333333333,0.40719711696363,0.0719418857178134,2,27.880701135027
"didnt_fail","low","P?",30,0.615,0.383825501853402,0.0676400369838353,2,27.8525768124814
"didnt_fail","high","TRY?",28,0.734923076923077,0.363953774866403,0.0673944464452766,2,22.26814305861
"didnt_fail","high","P?",32,0.805,0.278050083543115,0.0453767504253739,2,18.3645603889482
