context,world,tried,outcome,prior
high,w11,1,1,0.7920065169120846
high,w10,1,0,0.04699348308791535
high,w01,0,1,0.008793483087915421
high,w00,0,0,0.15220651691208462
low,w11,1,1,0.19527192857875128
low,w10,1,0,0.01158640475458207
low,w01,0,1,0.04331973808791542
low,w00,0,0,0.7498219285787513
