stage,collapsed_implicative_prior_effect,positive_boost,negative_boost
L0,0.195638726950968,0.0,0.0
L1,0.2508939577777875,1.1102230246251565e-16,0.0
observed_cell_means,0.27569350961538464,0.013575950091575195,0.09206547619047623
