model,stage,collapsed_implicative_prior_effect,positive_boost,negative_boost
M-outcome,L1,0.2508939577777875,1.1102230246251565e-16,0.0
M-attempt,L0,0.0,0.09627260565537343,0.8744359346042119
M-attempt,L1,0.0,0.19636519303531386,0.9567681291806652
data,observed_cell_means,0.27569350961538464,0.013575950091575195,0.09206547619047623
