source_file,participant_uuid,study,study_version,collection_mode,prolific_pid,prolific_study_id,prolific_session_id,assignment_source,item_route,local_condition_id,global_condition_id,item,prior,qud,utterance_id,utterance_family,utterance_polarity,is_implicative,consent_given,consent_rt_ms,instructions_rt_ms,ratings_rt_ms,rating_order,try_rating,try_rating_01,completion_rating,completion_rating_01,naturalness_rating,naturalness_rating_01,demographics_rt_ms,age,gender,education,native_language,country,screening_reasons,screening_status,analysis_exclusion_reasons,analysis_status,data_schema_version
record_000776.json,U001212,main-experiment,main-experiment-photo-1.2.0,main,P000730,S000002,T000201,datapipe-sequential-photo,photo,11,11,photo,high,TRY?,didnt_fail,fail,negative,True,True,2050,3470,173461,P?|TRY?|NAT,91,0.91,83,0.83,37,0.37,57313,30,man,prefer-not-to-say,prefer-not-to-say,united-kingdom,native_language_prefer_not_to_say_or_missing,exclude,native_language_prefer_not_to_say_or_missing,exclude,main-exp-1.0.0
record_000868.json,U000647,main-experiment,main-experiment-photo-1.2.0,main,P001010,S000002,T000293,datapipe-sequential-photo,photo,31,31,photo,low,TRY?,didnt_try,try,negative,False,True,99575,112650,185826,TRY?|P?|NAT,20,0.2,19,0.19,100,1.0,66298,45,woman,some-college,prefer-not-to-say,canada,native_language_prefer_not_to_say_or_missing,exclude,native_language_prefer_not_to_say_or_missing,exclude,main-exp-1.0.0
record_001275.json,U000336,main-experiment,main-experiment-photo-1.2.0,main,P000111,S000002,T000638,datapipe-sequential-photo,photo,11,11,photo,high,TRY?,didnt_fail,fail,negative,True,True,1967,996,34870,P?|TRY?|NAT,99,0.99,100,1.0,14,0.14,16456,34,woman,bachelor,non-english,united-kingdom,native_language_not_english,exclude,native_language_not_english,exclude,main-exp-1.0.0
record_000176.json,U000301,main-experiment,main-experiment-package-1.2.0,main,P000867,S000004,T000862,datapipe-sequential-package,package,21,53,package,low,P?,didnt,simple,negative,False,True,2406,3895,180847,TRY?|P?|NAT,25,0.25,0,0.0,82,0.82,12169,40,prefer-not-to-say,prefer-not-to-say,prefer-not-to-say,prefer-not-to-say,native_language_prefer_not_to_say_or_missing;country_prefer_not_to_say_or_missing,exclude,native_language_prefer_not_to_say_or_missing;country_prefer_not_to_say_or_missing,exclude,main-exp-1.0.0
record_000857.json,U000271,main-experiment,main-experiment-package-1.2.0,main,P000145,S000004,T000965,datapipe-sequential-package,package,8,40,package,high,TRY?,managed,manage,positive,True,True,29725,3912,5672,TRY?|P?|NAT,45,0.45,83,0.83,69,0.69,14694,20,prefer-not-to-say,prefer-not-to-say,prefer-not-to-say,prefer-not-to-say,native_language_prefer_not_to_say_or_missing;country_prefer_not_to_say_or_missing,exclude,native_language_prefer_not_to_say_or_missing;country_prefer_not_to_say_or_missing,exclude,main-exp-1.0.0
record_001204.json,U001075,main-experiment,main-experiment-package-1.2.0,main,P000057,S000004,T001137,datapipe-sequential-package,package,13,45,package,high,TRY?,didnt,simple,negative,False,True,6246,6214,81937,TRY?|P?|NAT,66,0.66,0,0.0,92,0.92,18364,30,woman,some-college,non-english,united-states,native_language_not_english,exclude,native_language_not_english,exclude,main-exp-1.0.0
