contrast,target_utterances,target_n,target_try_mean,target_try_sd,baseline_utterances,baseline_n,baseline_try_mean,baseline_try_sd,target_minus_baseline_try_mean
managed_and_didnt_fail_minus_did,managed|didnt_fail,240,0.7038,0.3448,did,122,0.6902,0.3404,0.0136
didnt_manage_and_failed_minus_didnt,didnt_manage|failed,242,0.3412,0.3336,didnt,119,0.2491,0.3046,0.0921
