"model_name","term","estimate","se","df","t","p","ci95_low","ci95_high"
"try_additive_random_item_question_order","(Intercept)",0.607826320442011,0.0350513005904491,15.9855408237941,17.3410489825771,8.65561540388161e-12,0.533515419826822,0.682137221057201
"try_additive_random_item_question_order","utterancedidnt_manage",-0.379874967152156,0.037988842062683,949.002526073193,-9.99964585720585,1.88625464245582e-22,-0.454426811274747,-0.305323123029564
"try_additive_random_item_question_order","utterancefailed",-0.415418486887918,0.037992680421735,949.001755524005,-10.9341715898061,2.71477858818928e-26,-0.489977863740306,-0.340859110035531
"try_additive_random_item_question_order","utterancedidnt_fail",-0.0668720022854312,0.0380681830374361,949.009675076333,-1.75663761571361,0.0793020842642424,-0.141579549724052,0.00783554515318985
"try_additive_random_item_question_order","utterancedid",-0.048174150475314,0.0379109438281464,949.00000007172,-1.27071883764466,0.204140102862002,-0.122573122145981,0.0262248211953527
"try_additive_random_item_question_order","utterancedidnt",-0.490728024989065,0.0381498701409719,949.020621350516,-12.8631637060813,5.07316282591359e-35,-0.565595879558128,-0.415860170420003
"try_additive_random_item_question_order","utterancetried",-0.0904408791435963,0.0380764766390585,949.000134937954,-2.37524285665714,0.0177352517417522,-0.165164703459751,-0.0157170548274415
"try_additive_random_item_question_order","utterancedidnt_try",-0.55515801029979,0.0382301051785257,949.010818666826,-14.5214879139707,2.69939553843498e-43,-0.630183324457931,-0.480132696141648
"try_additive_random_item_question_order","priorhigh",0.252979315885712,0.0190287934081632,949.015482186987,13.2945537039246,4.14256822833397e-37,0.215635939824556,0.290322691946867
"try_additive_random_item_question_order","qudP?",0.0122392048028256,0.019075530987042,949.003565635726,0.641618039945503,0.52127615121414,-0.0251958928073033,0.0496743024129545
"try_additive_random_item_question_order","rating_orderP?|TRY?|NAT",-0.00362480358406599,0.0190894598655406,949.251439876812,-0.189885078446317,0.849439781553698,-0.0410872236648767,0.0338376164967447
